Africa,ZAR,,,,,,,,,
East Asia,JPY,CNY,HKD,KRW,TWD,,,,,
Europe,EUR,GBP,CHF,SEK,NOK,DKK,PLN,CZK,TRY,HUF
Middle East,ILS,AED,SAR,,,,,,,
North America,USD,CAD,MXN,,,,,,,
Oceania,AUD,NZD,,,,,,,,
South America,BRL,CLP,,,,,,,,
South Asia,SGD,INR,THB,IDR,,,,,,
